showRate,movieId,subBoxOffice,releaseDay,boxRateshowZero,dailyBoxOffice,movieName
0.01,800,556,114,0.03,False,0.6,虎王归来
0.02,79146,1571,80,0.03,False,0.6,第一书记
0.15,245983,15139,42,0.03,False,0.6,大笑江湖
0.03,66395,27,22,0.02,False,0.4,回忆之前，忘记之后
0.02,338500,21,1190,0.02,False,0.3,革命到底
0.04,917,21037,56,0.01,False,0.2,哈利·波特与死亡圣器（上)
0.01,248634,2420,77,0.00,False,0.1,密室之不可告人
28.27,407,4574,4,38.52,False,1087.3,创：战纪
21.78,29933,7102,8,26.40,False,745.0,纳尼亚传奇3：黎明踏浪号
23.01,182,60632,30,18.56,False,524.0,让子弹飞
18.68,3,43901,24,13.64,False,385.0,非诚勿扰2
2.97,341590,2765,-1694,1.16,False,32.6,午夜邂逅
1.66,49553,619,15,0.35,False,9.8,一路有你
0.01,28237,9,-88,0.31,False,8.8,激战运钞车
0.71,59335,366,226,0.29,False,8.1,前度
0.85,540,351,-343,0.22,False,6.3,恋人絮语
0.96,248659,45,8,0.13,False,3.7,失控
0.53,64996,170,15,0.11,False,3.2,绑架冰激凌
0.26,19,18164,42,0.10,False,2.9,赵氏孤儿
0.01,29646,749,46,0.03,False,0.9,火线特攻
0.02,79146,1572,81,0.03,False,0.8,第一书记
0.04,66395,28,23,0.02,False,0.6,回忆之前，忘记之后
0.15,245983,15140,43,0.02,False,0.6,大笑江湖
0.01,62438,973,71,0.02,False,0.5,新康定情歌
0.03,917,21038,57,0.01,False,0.4,哈利·波特与死亡圣器（上)
0.01,498,1227,267,0.01,False,0.3,黑猫警长
0.03,164,6391,67,0.01,False,0.2,危情时速
27.94,407,5826,5,38.85,False,1251.7,创：战纪
22.62,29933,7981,9,27.27,False,878.6,纳尼亚传奇3：黎明踏浪号
22.77,182,61219,31,18.22,False,587.1,让子弹飞
18.24,3,44317,25,12.92,False,416.2,非诚勿扰2
3.06,341590,2803,-1693,1.17,False,37.5,午夜邂逅
1.72,49553,632,16,0.40,False,13.0,一路有你
0.72,59335,376,227,0.30,False,9.5,前度
0.89,540,358,-342,0.21,False,6.9,恋人絮语
0.01,28237,13,-87,0.13,False,4.1,激战运钞车
0.52,64996,174,16,0.12,False,4.0,绑架冰激凌
0.28,19,18167,43,0.11,False,3.5,赵氏孤儿
0.88,248659,48,9,0.11,False,3.5,失控
0.05,66395,30,24,0.04,False,1.2,回忆之前，忘记之后
0.04,917,21039,58,0.04,False,1.1,哈利·波特与死亡圣器（上)
0.17,245983,15141,44,0.03,False,0.9,大笑江湖
0.01,62438,973,72,0.02,False,0.5,新康定情歌
0.00,78861,14496,122,0.01,False,0.3,山楂树之恋
0.02,164,6391,68,0.01,False,0.2,危情时速
0.01,498,1228,268,0.00,False,0.2,黑猫警长
0.04,233,5300,898,0.00,False,0.2,十全九美
28.02,407,6650,6,37.56,False,824.7,创：战纪
22.39,29933,8562,10,26.48,False,581.5,纳尼亚传奇3：黎明踏浪号
22.84,182,61638,32,19.04,False,418.1,让子弹飞
18.47,3,44610,26,13.34,False,292.8,非诚勿扰2
3.23,341590,2835,-1692,1.48,False,32.6,午夜邂逅
1.73,49553,643,17,0.48,False,10.5,一路有你
0.77,59335,383,228,0.34,False,7.5,前度
0.85,540,363,-341,0.22,False,4.8,恋人絮语
0.01,248486,3,16,0.16,False,3.5,社区民警故事
0.50,64996,177,17,0.14,False,3.2,绑架冰激凌
0.80,248659,51,10,0.12,False,2.7,失控
0.00,186,2,-3,0.07,False,1.6,新少林寺
0.07,66395,31,25,0.07,False,1.6,回忆之前，忘记之后
0.02,917,21040,59,0.06,False,1.4,哈利·波特与死亡圣器（上)
0.24,19,18169,44,0.06,False,1.2,赵氏孤儿
0.01,52781,83,1112,0.05,False,1.1,对岸的战争
0.01,29646,750,48,0.04,False,0.8,火线特攻
0.02,61823,178,72,0.04,False,0.8,西游新传：大电影
0.01,800,557,117,0.04,False,0.8,虎王归来
27.69,407,7225,7,35.56,False,575.0,创：战纪
22.46,29933,8995,11,26.76,False,432.8,纳尼亚传奇3：黎明踏浪号
23.17,182,61958,33,19.80,False,320.1,让子弹飞
18.58,3,44833,27,13.82,False,223.6,非诚勿扰2
3.00,341590,2858,-1691,1.42,False,23.0,午夜邂逅
1.56,49553,649,18,0.42,False,6.8,一路有你
0.74,59335,389,229,0.36,False,5.8,前度
0.10,186,7,-2,0.33,False,5.4,新少林寺
0.02,248486,9,17,0.32,False,5.2,社区民警故事
0.86,540,367,-340,0.22,False,3.6,恋人絮语
0.26,19,18172,45,0.22,False,3.6,赵氏孤儿
0.49,64996,180,18,0.15,False,2.5,绑架冰激凌
0.04,247377,308,152,0.13,False,2.1,喋血孤城
0.81,248659,53,11,0.11,False,1.8,失控
0.01,44306,117,601,0.07,False,1.1,男生贾里新传
0.01,61823,179,73,0.05,False,0.8,西游新传：大电影
0.01,64673,476,217,0.04,False,0.6,替身传奇乐翻天
0.02,61781,1291,54,0.04,False,0.6,李小龙我的兄弟
0.00,52781,84,1113,0.03,False,0.5,对岸的战争
0.16,245983,15141,46,0.03,False,0.4,大笑江湖
22.25,186,988,-1,41.45,False,981.1,新少林寺
21.41,407,7727,8,21.21,False,502.0,创：战纪
18.07,29933,9376,12,16.09,False,381.0,纳尼亚传奇3：黎明踏浪号
18.06,182,62230,34,11.49,False,271.9,让子弹飞
13.90,3,45006,28,7.29,False,172.7,非诚勿扰2
2.38,341590,2878,-1690,0.86,False,20.2,午夜邂逅
0.08,248486,23,18,0.59,False,13.9,社区民警故事
1.32,49553,655,19,0.23,False,5.4,一路有你
0.59,59335,393,230,0.18,False,4.3,前度
0.64,540,369,-339,0.11,False,2.5,恋人絮语
0.17,19,18175,46,0.10,False,2.3,赵氏孤儿
0.02,61823,181,74,0.08,False,1.8,西游新传：大电影
0.56,248659,54,12,0.07,False,1.5,失控
0.37,64996,181,19,0.06,False,1.5,绑架冰激凌
0.01,52781,85,1114,0.05,False,1.3,对岸的战争
0.11,245983,15143,47,0.05,False,1.2,大笑江湖
0.01,917,21041,61,0.03,False,0.8,哈利·波特与死亡圣器（上)
0.02,247377,309,153,0.03,False,0.8,喋血孤城
0.02,328671,1,14993,0.02,False,0.5,幸福的白天鹅
0.00,331,210,477,0.02,False,0.4,麋鹿王
50.10,186,2901,1,69.24,False,1913.1,新少林寺
14.32,407,8041,9,11.36,False,313.8,创：战纪
12.55,29933,9617,13,8.73,False,241.3,纳尼亚传奇3：黎明踏浪号
11.53,182,62384,35,5.60,False,154.6,让子弹飞
8.31,3,45104,29,3.54,False,97.8,非诚勿扰2
0.14,248486,41,19,0.65,False,17.9,社区民警故事
1.37,341590,2888,-1689,0.34,False,9.3,午夜邂逅
0.52,49553,657,20,0.06,False,1.8,一路有你
0.01,61704,2,-15,0.06,False,1.8,熊猫总动员
0.10,19,18176,47,0.06,False,1.5,赵氏孤儿
0.02,341928,1,-7,0.05,False,1.4,武林外传
0.20,59335,395,231,0.05,False,1.4,前度
0.31,540,370,-338,0.04,False,1.1,恋人絮语
0.02,247377,310,154,0.03,False,0.9,喋血孤城
0.01,52781,86,1115,0.03,False,0.8,对岸的战争
0.17,64996,182,20,0.02,False,0.6,绑架冰激凌
0.02,66395,32,28,0.02,False,0.6,回忆之前，忘记之后
0.20,248659,55,13,0.02,False,0.6,失控
0.01,79146,1572,86,0.02,False,0.5,第一书记
0.10,245983,15144,48,0.02,False,0.4,大笑江湖
46.26,186,4726,2,133.16,False,1825.0,新少林寺
15.91,471,855,-1,62.35,False,854.6,喜羊羊与灰太狼之兔年顶呱呱
11.20,407,8364,10,23.60,False,323.4,创：战纪
9.82,29933,9856,14,17.41,False,238.5,纳尼亚传奇3：黎明踏浪号
8.68,182,62529,36,10.59,False,145.1,让子弹飞
5.87,3,45183,30,5.79,False,79.4,非诚勿扰2
0.12,248486,55,20,1.05,False,14.4,社区民警故事
1.06,341590,2897,-1688,0.69,False,9.4,午夜邂逅
0.08,19,18182,48,0.44,False,6.0,赵氏孤儿
0.03,64673,479,220,0.25,False,3.4,替身传奇乐翻天
0.04,52781,89,1116,0.22,False,3.1,对岸的战争
0.00,28237,15,-82,0.10,False,1.4,激战运钞车
0.17,59335,396,232,0.09,False,1.2,前度
0.03,66395,33,29,0.09,False,1.2,回忆之前，忘记之后
0.31,49553,658,21,0.08,False,1.2,一路有你
0.16,540,371,-337,0.08,False,1.0,恋人絮语
0.13,248487,1,-7,0.07,False,0.9,天赐
0.12,64996,183,21,0.04,False,0.6,绑架冰激凌
0.02,328671,1,14995,0.03,False,0.3,幸福的白天鹅
0.01,79146,1572,87,0.02,False,0.3,第一书记
40.16,186,6951,3,79.31,False,2225.2,新少林寺
34.14,471,2682,1,65.11,False,1826.9,喜羊羊与灰太狼之兔年顶呱呱
7.84,407,8767,11,14.36,False,402.8,创：战纪
6.75,29933,10138,15,10.05,False,282.0,纳尼亚传奇3：黎明踏浪号
5.85,182,62683,37,5.47,False,153.6,让子弹飞
3.75,3,45266,31,2.96,False,82.9,非诚勿扰2
0.62,341590,2905,-1687,0.26,False,7.4,午夜邂逅
0.07,248486,59,21,0.16,False,4.4,社区民警故事
0.20,49553,659,22,0.04,False,1.1,一路有你
0.05,19,18183,49,0.04,False,1.0,赵氏孤儿
0.01,61781,1292,58,0.04,False,1.0,李小龙我的兄弟
0.01,52781,90,1117,0.03,False,0.8,对岸的战争
0.00,61704,3,-13,0.03,False,0.8,熊猫总动员
0.01,66395,34,30,0.02,False,0.6,回忆之前，忘记之后
0.25,248487,2,-6,0.02,False,0.6,天赐
0.07,245983,15144,50,0.02,False,0.6,大笑江湖
0.07,64996,183,22,0.02,False,0.6,绑架冰激凌
0.07,248659,55,15,0.02,False,0.5,失控
0.02,328671,1,14996,0.02,False,0.5,幸福的白天鹅
0.08,540,372,-336,0.02,False,0.4,恋人絮语
39.27,186,9314,4,85.84,False,2362.2,新少林寺
36.80,471,4428,2,63.45,False,1745.9,喜羊羊与灰太狼之兔年顶呱呱
7.22,407,9201,12,15.76,False,433.6,创：战纪
6.34,29933,10446,16,11.22,False,308.8,纳尼亚传奇3：黎明踏浪号
5.68,182,62857,38,6.33,False,174.2,让子弹飞
3.34,3,45344,32,2.85,False,78.4,非诚勿扰2
0.55,341590,2912,-1686,0.28,False,7.8,午夜邂逅
0.01,248486,66,22,0.24,False,6.6,社区民警故事
0.06,19,18186,50,0.10,False,2.7,赵氏孤儿
0.03,61781,1294,59,0.05,False,1.5,李小龙我的兄弟
0.17,49553,660,23,0.05,False,1.4,一路有你
0.00,61704,4,-12,0.04,False,1.2,熊猫总动员
0.23,248487,3,-5,0.04,False,1.0,天赐
0.01,66395,35,31,0.03,False,0.9,回忆之前，忘记之后
0.09,540,373,-335,0.03,False,0.7,恋人絮语
0.00,78936,1,-242,0.03,False,0.7,金色记忆
0.08,248659,56,16,0.02,False,0.6,失控
0.02,328671,2,14997,0.02,False,0.4,幸福的白天鹅
0.04,245983,15145,51,0.01,False,0.4,大笑江湖
0.06,59335,396,234,0.01,False,0.4,前度
39.53,186,11040,5,140.37,False,1726.4,新少林寺
36.22,471,5537,3,90.11,False,1108.2,喜羊羊与灰太狼之兔年顶呱呱
7.48,407,9517,13,25.67,False,315.7,创：战纪
6.69,29933,10676,17,18.68,False,229.8,纳尼亚传奇3：黎明踏浪号
5.48,182,62988,39,10.67,False,131.2,让子弹飞
3.19,3,45401,33,4.61,False,56.7,非诚勿扰2
0.20,248486,103,23,3.05,False,37.6,社区民警故事
0.07,19,18191,51,0.43,False,5.3,赵氏孤儿
0.36,341590,2917,-1685,0.37,False,4.6,午夜邂逅
0.16,248659,57,17,0.07,False,0.9,失控
0.23,248487,3,-4,0.07,False,0.8,天赐
0.21,49553,661,24,0.06,False,0.7,一路有你
0.04,245983,15146,52,0.05,False,0.6,大笑江湖
0.06,540,373,-334,0.03,False,0.4,恋人絮语
0.04,59335,397,235,0.03,False,0.3,前度
0.01,61781,1294,60,0.03,False,0.3,李小龙我的兄弟
0.01,293,22500,482,0.02,False,0.2,风声
0.01,18,9896,367,0.02,False,0.2,孔子
0.01,328671,2,14998,0.01,False,0.2,幸福的白天鹅
0.01,811,2997,73,0.01,False,0.2,猫头鹰王国：守卫者传奇
39.86,186,12356,6,46.01,False,1315.7,新少林寺
34.94,471,6383,4,29.61,False,846.8,喜羊羊与灰太狼之兔年顶呱呱
7.82,407,9783,14,9.30,False,265.9,创：战纪
7.30,29933,10884,18,7.28,False,208.2,纳尼亚传奇3：黎明踏浪号
5.48,182,63108,40,4.17,False,119.3,让子弹飞
3.22,3,45449,34,1.66,False,47.4,非诚勿扰2
